Token,Lexeme,Form,Stem,Rule
κακός,lsj.n52332,forms.7010001110,adjstems.n52332,adjinfl.os_h_on_pos1
κακή,lsj.n52332,forms.7010002110,adjstems.n52332,adjinfl.os_h_on_pos2
κακόν,lsj.n52332,forms.7010003110,adjstems.n52332,adjinfl.os_h_on_pos3
κακοῦ,lsj.n52332,forms.7010001210,adjstems.n52332,adjinfl.os_h_on_pos4
κακῆς,lsj.n52332,forms.7010002210,adjstems.n52332,adjinfl.os_h_on_pos5
κακοῦ,lsj.n52332,forms.7010003210,adjstems.n52332,adjinfl.os_h_on_pos6
κακῷ,lsj.n52332,forms.7010001310,adjstems.n52332,adjinfl.os_h_on_pos7
κακῇ,lsj.n52332,forms.7010002310,adjstems.n52332,adjinfl.os_h_on_pos8
κακῷ,lsj.n52332,forms.7010003310,adjstems.n52332,adjinfl.os_h_on_pos9
κακόν,lsj.n52332,forms.7010001410,adjstems.n52332,adjinfl.os_h_on_pos10
κακήν,lsj.n52332,forms.7010002410,adjstems.n52332,adjinfl.os_h_on_pos11
κακόν,lsj.n52332,forms.7010003410,adjstems.n52332,adjinfl.os_h_on_pos12
κακοί,lsj.n52332,forms.7030001110,adjstems.n52332,adjinfl.os_h_on_pos13
κακαί,lsj.n52332,forms.7030002110,adjstems.n52332,adjinfl.os_h_on_pos14
κακά,lsj.n52332,forms.7030003110,adjstems.n52332,adjinfl.os_h_on_pos15
κακῶν,lsj.n52332,forms.7030001210,adjstems.n52332,adjinfl.os_h_on_pos16
κακῶν,lsj.n52332,forms.7030002210,adjstems.n52332,adjinfl.os_h_on_pos17
κακῶν,lsj.n52332,forms.7030003210,adjstems.n52332,adjinfl.os_h_on_pos18
κακοῖς,lsj.n52332,forms.7030001310,adjstems.n52332,adjinfl.os_h_on_pos19
κακαῖς,lsj.n52332,forms.7030002310,adjstems.n52332,adjinfl.os_h_on_pos20
κακοῖς,lsj.n52332,forms.7030003310,adjstems.n52332,adjinfl.os_h_on_pos21
κακούς,lsj.n52332,forms.7030001410,adjstems.n52332,adjinfl.os_h_on_pos22
κακάς,lsj.n52332,forms.7030002410,adjstems.n52332,adjinfl.os_h_on_pos23
κακά,lsj.n52332,forms.7030003410,adjstems.n52332,adjinfl.os_h_on_pos24
βουλή,lsj.n20600,forms.2010002100,nounstems.n20600,nouninfl.h_hs1
βουλῆς,lsj.n20600,forms.2010002200,nounstems.n20600,nouninfl.h_hs2
